categoria,nome
Todos os produtos,"ENGATE RAPIDO EM PLASTICO COM AQUASTOP PARA MANGUEIRA DE 1/2"" - TRAMONTINA"
Todos os produtos,"BOBINA PARA CONTATOR TRC1 INTERVALO 09A-18 AMPERES 24VCA, PROD. EM TERMOPLASTICO C/COMPON - TRAMONTINA"
Todos os produtos,"BOBINA PARA CONTATOR TRC1 INTERVALO 09A-18 AMPERES 380VCA, C/COMPONENTES METALICOS. - TRAMONTINA"
Todos os produtos,"BOBINA PARA CONTATOR TRC1 INTERVALO 25A-32 AMPERES 380VCA, C/COMPONENTES METALICOS. - TRAMONTINA"
Todos os produtos,"MINICONTATOR TRC6-0910 9 AMPERES 220VCA 1NA, PROD. EM TERMOPLASTICO C/COMP. METALICOS. - TRAMONTINA"
Todos os produtos,"CONTATOR TRC1-0910 9 AMPERES 220VCA 1NA, PROD. EM TERMOPLASTICO C/COMP. METALICOS. - TRAMONTINA"
Todos os produtos,"CONTATOR TRC1-2510 25 AMPERES 220VCA 1NA, PROD. EM TERMOPLASTICO C/COMPONENTES METALICOS. - TRAMONTINA"
Todos os produtos,"CONTATOR TRC1-3201 32 AMPERES 220VCA 1NF, PROD. EM TERMOPLASTICO C/COMPONENTES METALICOS. - TRAMONTINA"
Todos os produtos,TCE-CN - RELE ELETRONICO DE CONTROLE DE NIVEL - TRAMONTINA
Todos os produtos,CHAVE PARTIDA TRIFASICA TRQ3-5.5P 3CV 220V 5.5-8A EM TERMOPLASTICO C/ COMP. METALICOS. - TRAMONTINA
Todos os produtos,CHAVE PARTIDA TRIFASICA TRQ3-5.5P 4CV 220V 9-13A EM TERMOPLASTICO C/ COMP. METALICOS. - TRAMONTINA
Todos os produtos,CHAVE PARTIDA TRIFASICA TRQ3-5.11P 6CV 220V 12-18A EM TERMOPLASTICO C/ COMP. METALICOS. - TRAMONTINA
Todos os produtos,LAMPADA DE LED ALTA POTENCIA BULBO 6500K 100-240V 20W BASE E27 - TRAMONTINA
Todos os produtos,UNIAO P/IRRIGACAO 1 X 3/4''
Todos os produtos,REGISTRO ESFERA SOLDAVEL 32MM
Todos os produtos,REGISTRO ESFERA SOLDAVEL 25MM
Todos os produtos,LIXA D AGUA 1200 C/50 UNDS.
Todos os produtos,"MANGUEIRA (F) 3/4 X 2,0 VERDE"
Todos os produtos,UNIAO SOLDAVEL 32MM
Todos os produtos,DESENGRIPANTE 300ML LUB
Todos os produtos,ADESIVO POLITUBES RAPIDO 850G - POLITUBES
Todos os produtos,AFL-6CP ADAPTADOR PARA FURADEIRA LYNUS 6 PARA CORTES E PODAS - LYNUS
Todos os produtos,PL-16 PULVERIZADOR MANUAL LYNUS 16LTS - LYNUS
Todos os produtos,PL-18B PULVERIZADOR BATERIA E MANUAL LYNUS - 18 LTS - LYNUS
Todos os produtos,PL-500S PULVERIZADOR MANUAL LYNUS 500ML - LYNUS
Todos os produtos,ADAPTADOR INTERNO ROSCA EXT. 1 AZ REBOUCAS
Todos os produtos,JOELHO P/IRRIGACAO 1/2'' DUPLO
Todos os produtos,CURVA 90 SOLDAVEL 25MM
Todos os produtos,FILTRO AR ST FS/FR75/85/HS80 INT/EXT CJ
Todos os produtos,INJETOR CARB ST FS85/HS80/HT75/45 22MM
Todos os produtos,INJETOR CARB RC 33/43/52/HUSQ236E 18MM
Todos os produtos,INJETOR CARB MS 45/52/58/62 18MM CPL
Todos os produtos,MOLA ARRANQUE RC33/43/52/MS45/52/62 FINA
Todos os produtos,MOLA ARRANQUE ST FS160/220/260/ C/CAPA
Todos os produtos,EMBREAGEM ST FS85/FR85/SP80 CPL
Todos os produtos,JOGO JUNTAS MS 45/52 PREMIUM
Todos os produtos,JOGO JUNTAS ST FS160/220/280/290 PREMIUM
Todos os produtos,JOGO JUNTAS ST FS75/80/85 PREMIUM
Todos os produtos,ESTICADOR ST 025/230/210/250/170/180 CPL
Todos os produtos,ESTICADOR ST 170/180 MOD. NOVO COMPLETO
Todos os produtos,CARRETEL ST FS160/220/280/290 AUTOM.
Todos os produtos,CILINDRO ST FS/FR160 CPL 35MM
Todos os produtos,CILINDRO ST FS220 CPL 38MM
Todos os produtos,CILINDRO ST FS280/290 CPL 40MM
Todos os produtos,MANGUEIRA GAS ST FS80/85 C/FILTRO/PASSAD
Todos os produtos,CILINDRO RC 52CC/PERFURADOR 52C CPL 44MM
Todos os produtos,CILINDRO RC TL43M/TB43 40MM CPL
Todos os produtos,CILINDRO MS 52CC CPL 45MM/PERFIL BAIXO
Todos os produtos,CILINDRO MS 45 43MM CPL
Todos os produtos,CARCACA ARRANQUE RC 33/43CC CPL MOLA DUP
Todos os produtos,CARCACA ARRANQUE RC L33/43M CPL GRAMPO
Todos os produtos,CARCACA ARRANQUE RC L33/43M CPL MOLA DUP
Todos os produtos,CARCACA ARRANQUE RC 33/43CC 1 MOLA CPL
Todos os produtos,CARCACA ARRANQUE RC 33/43 ANT TRIANGULAR
Todos os produtos,CONEXAO CARBURADOR ST FS160/220/280/290
Todos os produtos,TERMINAL VELA VANT V4T TODOS
Todos os produtos,MODULO IGNICAO VANT V4T 5.5/6.5/7HP
Todos os produtos,MOLA ARRANQUE VANT V4T 5.5/6.5/7HP
Todos os produtos,TANQUE COMBUS MS 45/52/58/62CC S/ INJET
Todos os produtos,TAMBOR ST FS160/220/280/290
Todos os produtos,CILINDRO ST FS38/FS55/HS45/BG85-SOPR CPL
Todos os produtos,MOLA ARRANQUE RC33/43/52/MS45/52 GROSSA
Todos os produtos,CARBURADOR ST FS75/80/85/85R/SP80K ZAMA
Todos os produtos,CARBURADOR ST FS55/38/45/SP80/80K ZAMA
Todos os produtos,MANGUEIRA GAS FINA BORRACHA PRETA (MT)
Todos os produtos,CILINDRO MS 58CC CPL 45.2MM C/ GAIOLA
Todos os produtos,VELA IGNICAO STBG86/462/161/221/HUSQ553
Todos os produtos,ROCADEIRA BFG 33S 2T - BUFFALO
Todos os produtos,ROCADEIRA BFG 43S 2T - BUFFALO
Todos os produtos,MOTOSSERRA BFG 45 2T PLUS - BUFFALO
Todos os produtos,MOTOSSERRA BFG 56 2T PLUS - BUFFALO
Todos os produtos,"MOTOBOMBA BFG 2.1/2""X 2"" CENTRIFUGA - BUFFALO"
Todos os produtos,BOMBA PARA PULVERIZACAO BF45 (S/MOTOR) - BUFFALO
Todos os produtos,"CONEXAO MANG UNIAO INTERNO 1/2"""
Todos os produtos,"CONEXAO MANG UNIAO INTERNO 1"""
Todos os produtos,"MANGUEIRA TUBO FLEXIVEL HPU AZUL 8,0 X 5,0 X 100 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA JARDIM RECAPADA VERDE 3/4"" X 2,0 X 100 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA TUBO FLEXIVEL CRISTAL 3/4"" X 2,00 X 50 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA TUBO FLEXIVEL CRISTAL 1"" X 2,00 X 50 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA SUCCAO STANDARD LARANJA 3"" X 25 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA SUCCAO STANDARD LARANJA 2.1/2"" X 25 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA CRISTAL TRANCADA PT 250 PSI 1"" X 50 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA SUCCAO LIGHT AZUL 2"" X 50 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA CAR WASH AZUL 1/2"" X 50 M - HIMAFLEX"
Todos os produtos,"MANGUEIRA SUCCAO LIGHT AZUL 1.1/2"" X 25 M - HIMAFLEX"
Todos os produtos,PULV.COSTAL KAWASHIMA PCG-2625 - 3300300 - Pedido 2026-10904 - KAWASHIMA
Todos os produtos,BOMBA P/PULV.AGRIC.46LX40 FERRO S30AF - 3330790 - Pedido 2026-10904
Todos os produtos,MOTOBOMBA CENT KWP15 63CC 1X1.5 - 4321000 - Pedido 2026-10904
Todos os produtos,MOTOBOMBA FLUTUANTE 43CC 1X1.5 - 4322000 - Pedido 2026-10904
Todos os produtos,MOTOBOMBA GASOL CENTRI 2.5 2 GW252 - 5600380 - Pedido 2026-10904
Todos os produtos,MOTOR EST.HORIZ.GE700B 7.0HP-STD - 5670030 - Pedido 2026-10904
Todos os produtos,MOTOBOMBA 1.5POL AUTO-ESC. GWZ-150 - 5693640 - Pedido 2026-10904
Todos os produtos,MOTOBOMBA 1.5POL CENTRIFUGA F.FUNDIDO GWZ-15C - 5693670 - Pedido 2026-10904
Todos os produtos,MOTOBOMBA DIESEL 3P DW303B CENTRI - 6570260 - Pedido 2026-10904
Todos os produtos,CONJUNTO DE IRRIGACAO COMPOSTO DE
